CAS,FOUND_BY,DTXSID,PREFERRED_NAME,AVERAGE_MASS,MOLECULAR_FORMULA,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
98967-40-9,CASRN,DTXSID4032615,Flumetsulam,325.29,C12H9F2N5O2S,5.98412,N/A,N/A,N/A,0.736,N/A,N/A,222.981,N/A,N/A,N/A,N/A,N/A,N/A,1.40E-09,0.000108893,1.38E-11,2.52379,4.29121,305.611,5.70E-08,1.02286,10.8992,28.2563,1.60967,251.935,N/A,N/A,2.80E-12,0.00161527
98-86-2,CASRN,DTXSID6021828,Acetophenone,120.151,C8H8O,7.63836,209.024,0.000191867,1.029,0.333,0.000374973,76.615,26.904,0.094,0.0125893,38.139,139.433,0.00164059,1.57398,0.542001,0.0215278,2.74E-12,9.04049,5.38902,201.915,1.04081E-05,0.172773,4.4371,63.0544,1.5825,18.2924,N/A,18.34,0.397611,0.0515866
98-82-8,CASRN,DTXSID1021827,Cumene,120.195,C9H12,239.43,160.61,5.88844E-05,0.88,0.5,0.000141254,42.74,-60.62,0.04,0.020893,28.23,125.58,0.000338844,1.28825,2.95121,0.000954993,6.54E-12,35.7321,14.9574,152.541,0.0113666,0.367084,3.99095,521.484,3.66274,-94.0779,N/A,N/A,4.46709,0.000521787
98319-26-7,CASRN,DTXSID3020625,Finasteride,372.553,C23H36N2O2,28.1838,403.758,1.27057E-05,1.045,0.985,4.77529E-06,263.315,211.308,0.169,0.00291743,N/A,N/A,N/A,N/A,1.22E-09,8.4918E-06,3.32E-11,45.3639,96.7211,344.555,2.22E-09,0.746375,9.50748,58334,3.02977,252.914,N/A,N/A,2.86E-09,0.00042152
97825-25-7,CASRN,DTXSID7048378,Ractopamine,301.386,C18H23NO3,7.94328,410.348,1.33968E-05,1.205,0.455,3.47536E-06,239.977,141.914,0.38,0.00744732,N/A,177.474,1.63305E-05,48.3059,4.08E-08,0.000353997,1.67E-11,27.944,6.2864,362.227,1.55E-09,0.314797,9.39989,994.706,2.87975,158.044,N/A,N/A,3.72E-09,0.00266629
97240-79-4,CASRN,DTXSID8023688,Topiramate,339.36,C12H21NO8S,N/A,N/A,0.000228034,1.371,0.67,0.885116,197.504,65.871,0.555,0.00168655,N/A,N/A,N/A,N/A,1.26474E-05,0.0354813,1.78E-11,1.41258,6.22469,277.164,9.27E-09,2.59051,9.35042,25.8313,0.264922,89.2554,N/A,N/A,1.04514E-05,3.14252
968-81-0,CASRN,DTXSID7020007,Acetohexamide,324.4,C15H20N2O4S,1.8281,N/A,N/A,1.34,1.009,N/A,297.131,170.79,0.024,0.00763836,N/A,N/A,N/A,N/A,4.38E-10,0.000190985,1.83E-11,3.51024,3.54302,263.279,3.17E-10,0.172009,9.36656,344.937,2.43949,148.871,N/A,N/A,1.18E-10,0.00862582
96782-85-3,Searched by CASRN: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
96489-71-3,CASRN,DTXSID5032573,Pyridaben,364.93,C19H25ClN2OS,N/A,421.721,6.25E-07,1.215,0.152,3.85E-08,191.181,148.682,0.255,0.0015417,N/A,N/A,N/A,N/A,8.67E-08,5.85E-07,2.39E-11,599.033,13.0229,364.626,5.25E-08,0.638193,10.3163,2224.03,6.3671,111.437,N/A,N/A,1.18204E-06,4.47E-08
962-58-3,CASRN,DTXSID5037523,Diazoxon,288.284,C12H21N2O4P,11.8032,310.174,4.23E-08,1.174,0.837,1.49624E-05,172.835,7.243,0.665,0.00120781,N/A,N/A,0.00157036,N/A,1.99067E-05,0.00376704,1.75E-11,0.448284,4.1383,330.831,2.71E-07,0.281851,9.4182,294.957,2.07181,63.6208,N/A,N/A,1.99791E-05,0.000942178
96182-53-5,CASRN,DTXSID1032482,Tebupirimfos,318.37,C13H23N2O3PS,174.582,N/A,1.46E-08,1.155,0.634,1.16681E-05,172.937,0.141,-0.032,0.000277971,N/A,N/A,N/A,N/A,4.48745E-05,4.16869E-05,1.33E-11,33.0974,5.69118,343.127,4.59E-07,2.12364,9.57778,373.983,3.54339,22.9198,N/A,N/A,3.77482E-05,1.74007E-05
961-22-8,CASRN,DTXSID4058499,Azinphos-methyl oxon,301.26,C10H12N3O4PS,3.46737,N/A,3.54E-07,1.393,0.576,N/A,196.366,96.449,0.765,0.000028119,N/A,N/A,N/A,N/A,2.12E-09,0.00203236,1.68E-11,5.11369,3.54197,338.153,2.18E-08,0.561499,9.26038,214.583,0.779626,56.584,N/A,N/A,8.83E-07,0.00792882
959-98-8,CASRN,DTXSID9037539,Endosulfan I,406.9,C9H6Cl6O3S,N/A,318.635,4.39542E-06,1.81,0.484,3.29E-07,226.687,87.278,N/A,0.000445656,N/A,N/A,N/A,N/A,5.98E-07,7.21107E-06,7.30E-12,3.9244,15.8443,364.832,2.41726E-05,5.4492,8.81202,12875,3.82812,106.051,N/A,N/A,1.73E-07,1.01471E-06
95737-68-1,CASRN,DTXSID1032640,Pyriproxyfen,321.376,C20H19NO3,133.352,390.201,6.93E-07,1.19,0.593,7.26E-07,218.188,65.829,0.473,N/A,N/A,142.721,4.44631E-06,N/A,1.62E-07,1.08143E-06,1.75E-11,535.644,3.64818,376.482,6.21136E-06,1.02455,10.3268,8779.75,4.19946,46.2777,N/A,N/A,2.16876E-06,0.000001151
95-15-8,CASRN,DTXSID2052736,Benzothiophene,134.2,C8H6S,22.2844,221.291,6.62216E-05,1.186,0.621,N/A,69.873,35.227,0.233,0.00237684,N/A,N/A,0.000605341,3.12608,0.0530884,0.00472063,4.31E-11,104.363,24.9639,220.951,0.000635666,0.237412,5.00301,3008.75,3.12067,31.8888,N/A,N/A,0.236974,0.000977432
95-14-7,CASRN,DTXSID6020147,"1,2,3-Benzotriazole",119.127,C6H5N3,10.88,304.04,0.000057544,1.35,0.63,0.000060256,148.04,127.46,0.54,0.00436516,38.03,129.51,0.000263027,2.75423,0.057544,0.0263027,2.29E-11,4.33044,3.99331,349.912,2.46E-08,0.13626,5.03333,49.0345,1.43928,100.076,8.39,1.6,3.34769E-05,0.164771
950-37-8,CASRN,DTXSID5020819,Methidathion,302.32,C6H11N2O4PS3,11.8032,N/A,9.66E-08,1.426,0.378,N/A,175.103,29.83,0.815,0.000201372,N/A,N/A,N/A,N/A,4.4978E-06,0.00202302,1.70E-11,5.49502,140.576,330.295,2.81E-10,0.0709979,9.4558,33.9475,2.19921,39.027,N/A,N/A,3.36924E-06,0.000673945
950-35-6,CASRN,DTXSID5037571,Methylparaoxon,247.143,C8H10NO6P,9.72747,300.548,5.21E-08,1.353,0.939,0.000014388,162.384,54.69,0.972,2.04644E-05,N/A,N/A,0.0018578,9.12011,7.51623E-06,0.00857038,1.25E-11,1.8035,4.13798,330.35,2.88E-07,1.65804,7.39835,143.847,1.33187,129.583,N/A,N/A,3.56029E-06,0.0037937
94-78-0,CASRN,DTXSID1023445,Phenazopyridine,213.244,C11H11N5,10.2094,371.149,9.12011E-06,1.257,0.558,N/A,230.966,204.543,0.781,0.00703072,N/A,N/A,N/A,N/A,2.37E-09,7.06318E-05,1.29E-11,13.0428,8.44387,328.799,2.22E-08,0.208061,8.18751,208.851,1.93163,139.171,N/A,N/A,2.74E-09,0.000111161
94-75-7,CASRN,DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",221.03,C8H6Cl2O3,4.61318,311.414,0.000200447,1.473,0.523,7.81628E-05,167.216,132.353,0.031,0.00261818,45.206,142.278,0.000111173,19.0985,1.09901E-05,0.00199986,8.51E-12,3.33894,3.54877,300.498,2.96E-09,0.214166,8.64937,45.9586,2.80925,140.55,N/A,N/A,2.89E-07,0.00684596
94-74-6,CASRN,DTXSID4024195,MCPA,200.62,C9H9ClO3,2.95801,307.8,0.00030903,1.352,0.691,0.000160694,157.923,118.111,0.056,0.00323594,41.803,145.262,0.000225424,13.3045,1.38038E-05,0.00436516,1.17E-11,3.64045,3.54139,286.714,7.04E-09,0.110027,8.53099,53.719,3.24334,120.032,N/A,N/A,5.82008E-06,0.00952118
944-22-9,CASRN,DTXSID2024113,Fonofos,246.32,C10H15OPS2,86.6962,249.951,8.05E-08,1.175,0.368,7.6913E-06,146.933,8.92,0.038,0.000121899,N/A,N/A,N/A,N/A,8.01678E-05,0.000042462,2.13E-11,761.774,211.048,330.955,3.61223E-06,0.224659,8.98252,870.179,3.94092,80.3597,N/A,N/A,0.000336984,0.000061693
94-20-2,CASRN,DTXSID9020322,Chlorpropamide,276.74,C10H13ClN2O3S,3.06902,N/A,N/A,1.344,1.03,N/A,276.63,137.88,0.03,0.00695024,N/A,N/A,N/A,N/A,1.10E-08,0.000986279,1.67E-11,3.96194,4.23204,255.159,6.34E-09,0.0974008,9.05485,171.574,2.2686,128.049,N/A,N/A,2.70E-08,0.000685617
94125-34-5,CASRN,DTXSID9034868,Prosulfuron,419.38,C15H16F3N5O4S,1.15345,N/A,N/A,1.559,1.087,N/A,303.758,174.4,N/A,0.0170608,N/A,N/A,N/A,N/A,5.45E-11,0.000104472,1.39E-11,2.59172,5.68618,264.576,2.47E-11,0.15587,9.503,75.0078,1.89079,180.13,N/A,N/A,1.14E-11,0.000813747
93957-54-1,CASRN,DTXSID2020636,Fluvastatin,411.473,C24H26FNO4,9.7499,524.181,2.03704E-06,1.336,0.47,3.19E-08,325.993,191.779,0.589,0.000322107,N/A,N/A,3.50752E-06,N/A,7.91E-11,1.79473E-06,3.36E-11,3.56783,14.1903,396.364,1.73E-11,0.65519,9.38884,78751.3,3.51665,191.052,N/A,N/A,6.34E-10,8.11398E-05
93-65-2,CASRN,DTXSID9024194,(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid,214.65,C10H11ClO3,5.52077,312.482,0.000310456,1.284,0.691,7.62079E-05,157.04,101.622,0.046,0.0039355,40.846,140.672,0.000163682,17.7828,0.000013122,0.00348337,1.39E-11,3.69217,3.53297,297.982,1.65E-09,0.0819801,8.6654,20.0971,3.12858,94.6045,N/A,N/A,1.90404E-05,0.00741697
93479-97-1,CASRN,DTXSID5040675,Glimepiride,490.62,C24H34N4O5S,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
934-73-6,CASRN,DTXSID8023975,4-Chlorophenyl methyl sulfoxide,174.64,C7H7ClOS,18.4927,N/A,0.000275423,1.387,0.682,0.000184077,142.119,58.663,N/A,0.00129718,N/A,N/A,N/A,N/A,N/A,0.0271019,1.03E-12,6.40476,4.51893,274.103,1.06519E-05,0.356651,6.90433,148.294,1.24416,61.5651,N/A,N/A,0.00151096,0.00790409
934-32-7,CASRN,DTXSID1024465,2-Aminobenzimidazole,133.154,C7H7N3,3.2434,318.105,8.20352E-05,1.387,0.422,0.00034435,224.604,186.247,0.261,N/A,N/A,N/A,0.00097499,N/A,2.60615E-06,0.00984011,1.12E-10,4.33573,2.52606,303.91,9.40E-08,0.110022,8.07993,69.5649,0.910998,229.891,N/A,7.49,5.41E-08,0.015087
93413-69-5,CASRN,DTXSID6023737,Venlafaxine,277.408,C17H27NO2,96.6051,306.768,2.95121E-05,1.018,0.658,0.000022751,167.602,103.723,0.42,0.0021677,39.381,147.693,3.23594E-05,24.7742,1.48936E-06,0.00128529,1.67E-11,16.215,3.35698,302.904,2.07922E-06,2.5871,10.5739,652.726,3.12871,114.385,N/A,N/A,2.92E-07,0.000125609
93413-62-8,CASRN,DTXSID40869118,O-Desmethylvenlafaxine,263.381,C16H25NO2,73.6207,327.611,2.50035E-05,1.115,0.652,2.86418E-05,189.627,128.75,0.31,0.00275423,42.491,150.963,5.30884E-05,22.182,1.77419E-06,0.000695024,1.65E-11,16.0569,4.71147,313.107,4.77E-07,2.96748,9.02903,277.072,2.46137,127.96,N/A,N/A,7.90E-08,0.0162331
93-14-1,CASRN,DTXSID5023114,Guaifenesin,198.218,C10H14O4,5.50808,318.792,0.00205589,1.172,0.586,0.000716143,158.214,71.382,0.426,0.00826038,38.099,162.098,0.00325837,31.1172,1.74985E-05,0.0533335,9.50E-12,6.59995,3.54302,280.711,6.28E-10,0.262909,7.96252,150.66,1.38814,78.5118,N/A,N/A,1.42E-07,0.24974
92-52-4,CASRN,DTXSID4020161,Biphenyl,154.212,C12H10,590.201,253.843,7.76247E-06,0.997,0.561,2.25424E-05,104.002,42.69,N/A,0.0184927,39.927,131.758,6.62216E-05,N/A,0.00864968,0.000044978,7.24E-12,436.348,30.8193,256.171,0.000307534,4.17385,6.1403,1868.86,4.0099,67.888,N/A,N/A,0.00894776,4.57866E-05
91-57-6,CASRN,DTXSID4020878,2-Methylnaphthalene,142.201,C11H10,358.922,246.201,1.63305E-05,1.012,0.514,4.31519E-05,99.729,15.988,N/A,0.00944061,37.161,125.56,0.000136458,3.71535,0.0272898,0.00013213,5.21E-11,74.4505,14.0244,241.223,0.000518286,7.55769,5.82975,3960.56,3.86167,34.408,N/A,N/A,0.0538992,0.000172658
91-33-8,CASRN,DTXSID4022658,Benzthiazide,431.92,C15H14ClN3O4S3,1.06905,N/A,N/A,1.622,0.504,N/A,355.036,235.164,0.017,N/A,N/A,N/A,N/A,N/A,1.57E-10,6.47143E-05,2.87E-11,3.35581,12.7096,273.54,1.79E-11,0.176381,9.42555,50.9154,1.73008,231.496,N/A,N/A,7.83E-12,0.000206463
91-20-3,CASRN,DTXSID8020913,Naphthalene,128.174,C10H8,244.67,233.31,0.000057544,1.03,0.32,0.000060256,86.92,37.11,-0.01,0.0109648,38.03,129.51,0.000263027,2.75423,0.057544,0.00030903,2.15E-11,85.1911,3.02366,217.91,0.000439338,2.56219,5.16869,913.843,3.29634,79.6532,N/A,N/A,0.0842218,0.000245181
90982-32-4,CASRN,DTXSID0023955,Chlorimuron-ethyl,414.82,C15H15ClN4O6S,1.1885,N/A,N/A,1.563,1.027,N/A,308.66,197.379,0.301,N/A,N/A,N/A,N/A,N/A,1.97E-11,0.000204644,1.66E-11,7.19268,4.27962,264.66,5.57E-11,0.163622,9.58135,109.606,2.49725,184.366,N/A,N/A,3.78E-11,0.0028595
90-12-0,CASRN,DTXSID9020877,1-Methylnaphthalene,142.201,C11H10,275.423,250.351,2.95121E-05,1.013,0.564,4.66659E-05,100.521,28.452,N/A,0.00914113,36.94,126.246,0.00012942,3.8815,0.0242103,0.000140281,5.30E-11,54.104,9.1457,244.559,0.000515308,3.42134,5.00704,2291.34,3.86776,-29.9648,N/A,N/A,0.0667749,0.000193739
144457-28-3,CASRN,DTXSID10891466,Clopidogrel carboxylic acid,307.79,C15H14ClNO2S,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.46E-11,3.6482,34.2864,321.423,3.59E-10,3.3483,11.4148,849.174,3.14181,187.424,N/A,N/A,4.10E-09,4.49054E-05
89796-99-6,CASRN,DTXSID7045522,Aceclofenac,354.18,C16H13Cl2NO4,16.1808,449.051,1.26183E-05,1.479,1.076,4.22E-07,283.36,176.65,0.235,0.000635331,N/A,147.133,4.97737E-06,84.3335,2.42E-09,1.04713E-05,2.15E-11,2.89071,3.54643,316.67,1.36E-10,0.316896,9.44452,2161.44,3.50665,233.055,N/A,N/A,6.45E-11,2.65134E-06
89-78-1,CASRN,DTXSID1020805,dl-Menthol,156.269,C10H20O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.47E-11,10.914,3.49277,212.064,1.66489E-05,0.0647259,6.6021,319.834,3.34258,39.2218,N/A,N/A,0.00554997,0.0016845
89-57-6,CASRN,DTXSID5024506,5-Aminosalicylic acid,153.137,C7H7NO3,0.760326,323.446,0.000382825,1.489,0.356,0.00100462,186.129,208.13,0.292,0.0118577,N/A,N/A,0.0052723,N/A,3.61E-07,0.0281838,8.29E-12,4.03784,4.64311,272.647,3.99E-09,0.109853,7.89143,43.2647,0.809734,282.819,N/A,N/A,6.36E-07,0.00560045
887-54-7,CASRN,DTXSID9041782,Chlorthal-monomethyl,317.93,C9H4Cl4O4,28.9068,381.305,4.22669E-05,1.727,0.933,6.85488E-06,193.382,177.823,-0.116,0.00331131,N/A,N/A,0.000151705,N/A,6.47E-07,2.51768E-05,3.37E-12,3.23115,3.73412,315.479,6.02E-10,1.14418,10.1713,1350.23,3.32682,119.007,N/A,N/A,5.01186E-06,0.0221104
88671-89-0,CASRN,DTXSID8024315,Myclobutanil,288.78,C15H17ClN4,103.514,396.923,7.92501E-06,1.248,0.554,1.65577E-05,246.156,95.825,0.709,0.00576766,N/A,N/A,N/A,N/A,1.26E-07,3.82825E-05,1.66E-11,33.7376,3.35398,339.227,3.18E-07,2.23048,8.99596,501.959,2.9395,152.76,N/A,N/A,1.96E-07,0.000480987
882-09-7,CASRN,DTXSID1040661,Clofibric acid,214.65,C10H11ClO3,4.53942,311.563,0.000157398,1.292,0.664,0.000153462,158.542,114.798,0.046,0.00368129,41.016,141.772,0.000290402,9.66051,1.99067E-05,0.00368978,1.43E-11,3.82849,3.54835,294.429,1.66E-09,0.0705594,8.58311,86.588,2.57405,118.37,N/A,N/A,1.76622E-05,0.0055722
88150-42-9,CASRN,DTXSID7022596,Amlodipine,408.88,C20H25ClN2O5,N/A,456.095,8.79023E-06,1.265,0.827,1.78238E-06,264.143,165.546,-0.064,0.00399945,N/A,N/A,0.000111944,N/A,5.81E-09,0.000592925,8.30E-11,10.9218,3.35865,374.549,1.18E-08,0.257512,10.4426,37.2545,2.99833,163.634,N/A,N/A,3.06E-08,0.000270264
88-04-0,CASRN,DTXSID0032316,"4-Chloro-3,5-dimethylphenol",156.61,C8H9ClO,27.38,236.68,0.000011749,1.21,0.71,4.16869E-05,99.49,71.68,-0.01,0.0142889,36.63,138.15,0.000134896,7.24436,0.0199526,0.00707946,7.55E-11,21.1441,5.33113,246.015,6.09E-07,0.0861216,7.542,558.009,3.26812,114.48,N/A,N/A,0.013974,0.0015928
87-86-5,CASRN,DTXSID7021106,Pentachlorophenol,266.32,C6HCl5O,899.498,300.994,8.32E-07,1.764,0.371,1.35831E-06,135.507,127.358,-0.012,0.000476431,N/A,117.74,4.14954E-06,12.5314,0.000225424,1.79887E-05,2.00E-13,524.372,20.8946,309.422,2.46E-08,0.631343,8.45978,19871.5,5.11878,173.786,N/A,N/A,0.000110482,0.000151944
87857-41-8,CASRN,DTXSID60236666,Desmethylsertraline,292.2,C16H15Cl2N,423.643,361.968,1.41906E-06,1.251,0.875,3.86E-07,206.766,139.028,0.652,0.00204644,N/A,134.276,4.33511E-06,38.9942,1.17E-07,1.22462E-05,1.67E-11,1874.88,73.3419,379.337,1.43777E-05,0.888939,11.2144,7256.43,5.16635,176.631,N/A,N/A,1.07E-09,4.03654E-05
87674-68-8,CASRN,DTXSID4032376,Dimethenamid,275.79,C12H18ClNO2S,17.8238,337.241,0.000151705,1.234,0.711,N/A,165.954,65.396,0.443,N/A,N/A,N/A,3.60579E-05,48.0839,1.07647E-05,0.000765597,1.17E-11,62.9913,3.34898,294.311,8.11E-08,0.195804,8.64846,236.886,2.14996,1.51238,N/A,N/A,0.000272089,0.00453606
86-74-8,CASRN,DTXSID4020248,Carbazole,167.211,C12H9N,74.9894,365.431,1.01859E-05,1.232,0.627,7.43019E-06,169.704,186.032,0.63,0.0151356,N/A,N/A,0.000116413,N/A,5.91562E-06,0.000194536,8.23E-11,169.718,28.9016,354.611,1.16E-07,1.14918,9.13149,2526.51,3.59802,245.42,N/A,N/A,7.50E-07,8.62223E-06
86-73-7,CASRN,DTXSID8024105,Fluorene,166.223,C13H10,615.177,271.124,1.22462E-05,1.078,0.631,1.62181E-05,119.776,87.945,0.37,0.0105439,N/A,128.711,8.85116E-05,N/A,0.000159588,1.62555E-05,1.31E-11,523.676,43.9039,294.937,9.61126E-05,5.00642,6.8357,5010.8,4.17953,114.407,N/A,N/A,0.000601448,1.13751E-05
86-50-0,CASRN,DTXSID3020122,Azinphos-methyl,317.32,C10H12N3O3PS2,10.3514,N/A,2.75E-08,1.377,0.503,N/A,206.365,82.688,0.861,0.000159956,N/A,N/A,N/A,N/A,1.82E-08,4.33511E-05,1.68E-11,9.26715,95.264,334.654,9.96E-08,0.268986,9.82933,190.743,2.74875,72.9568,N/A,N/A,1.5968E-06,7.28921E-05
86408-45-9,CASRN,DTXSID60873797,N-Desmethyldiltiazem,400.49,C21H24N2O4S,4.00867,485.122,6.85488E-06,1.251,0.555,8.07E-07,276.958,120.97,0.413,0.00190108,N/A,N/A,9.63829E-06,N/A,1.93E-09,0.000123027,3.33E-11,8.15111,3.35911,413.379,8.45E-11,0.423697,10.2737,4288.56,3.12102,176.333,N/A,N/A,6.43E-08,3.44609E-05
86386-73-4,CASRN,DTXSID3020627,Fluconazole,306.277,C13H12F2N6O,20.797,408.078,0.0003155,1.444,N/A,0.000610942,242.697,117.248,0.828,0.0021727,N/A,N/A,N/A,N/A,2.99E-08,0.00134586,1.44E-11,6.95568,4.51968,293.102,7.66E-09,0.608978,10.0539,51.4268,0.501414,176.083,N/A,N/A,8.72E-10,0.0158043
86-13-5,CASRN,DTXSID9022659,Benztropine,307.437,C21H25NO,N/A,367.376,2.93089E-06,1.094,0.62,5.03501E-06,198.589,77.525,0.106,0.0015417,43.977,139.917,2.67301E-05,26.6686,6.31E-07,0.000993116,1.68E-11,254.378,23.9997,352.403,1.15969E-06,1.27518,9.63325,3822.51,4.02375,101.552,N/A,N/A,1.13E-07,1.99877E-05
85721-33-1,CASRN,DTXSID8022824,Ciprofloxacin,331.347,C17H18FN3O3,10.9648,406.149,8.57038E-06,1.374,1.085,5.78E-07,290.407,236.56,0.623,0.013122,N/A,N/A,N/A,N/A,8.77E-10,0.000226464,2.29E-11,2.89642,3.35431,347.941,9.24E-12,0.163646,9.43408,305.488,0.280064,223.585,N/A,N/A,6.72E-10,0.00657581
85650-52-8,Deleted CAS-RN,DTXSID0023325,Mirtazapine,265.36,C17H19N3,80.9096,344.324,1.89234E-05,1.124,0.704,7.14496E-06,196.201,137.869,0.048,0.00198609,N/A,N/A,3.89942E-05,N/A,2.90E-07,0.00072778,6.29E-11,12.9126,30.8029,333.882,1.51333E-06,1.72614,8.52201,629.913,1.53195,147.129,N/A,N/A,9.17E-08,0.000278782
851199-59-2,CASRN,DTXSID90234256,Linaclotide,1526.73,C59H79N15O21S6,N/A,N/A,N/A,N/A,N/A,N/A,898.713,785.968,0.588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.85E-10,3.96593,318.634,344.066,2.72E-11,0.234257,9.64878,30764.7,1.05715,168.879,N/A,N/A,2.85E-08,0.000153666
85-01-8,CASRN,DTXSID6024254,Phenanthrene,178.234,C14H10,633.87,340.522,4.62381E-06,1.117,0.651,5.02343E-06,150.039,96.962,0.629,0.00893306,39.414,126.54,5.39511E-05,7.44732,4.89779E-05,3.54813E-06,1.33E-11,2486.86,42.3429,339.957,4.25912E-05,5.0103,7.55002,22309.4,4.46529,156.882,N/A,N/A,0.000111975,1.42962E-06
84-66-2,CASRN,DTXSID7021780,Diethyl phthalate,222.24,C12H14O4,6.45654,312.231,8.77001E-05,1.11,0.748,0.000025293,137.595,11.653,0.16,0.0157036,34.896,142.769,0.000134896,6.74528,0.00091622,0.00165196,9.00E-12,8.43858,5.14045,299.636,2.37E-08,0.348908,6.74798,69.4075,2.44414,-21.0426,N/A,N/A,0.0020989,0.0046492
84-65-1,CASRN,DTXSID3020095,Anthraquinone,208.216,C14H8O2,101.158,357.578,2.85759E-05,1.281,0.517,1.97697E-05,184.561,168.596,0.714,0.0150314,N/A,N/A,0.000176198,13.366,1.98E-07,4.15911E-06,2.42E-11,6.8013,16.6988,376.901,3.05E-07,0.219696,8.41405,3707.17,3.38871,284.565,N/A,N/A,1.16E-07,3.29065E-06
846-50-4,CASRN,DTXSID8021309,Temazepam,300.74,C16H13ClN2O2,19.9526,379.251,2.38781E-05,1.327,0.872,8.75E-07,263.852,175.753,0.05,0.00508159,N/A,N/A,N/A,N/A,6.11E-09,0.000212324,1.87E-11,96.4315,2.94679,356.427,9.45E-10,0.774252,10.9703,1132.41,2.19192,120.056,N/A,N/A,4.38E-09,3.7962E-06
846-49-1,CASRN,DTXSID7023225,Lorazepam,321.16,C15H10Cl2N2O2,19.3642,450.539,1.39637E-05,1.513,0.947,3.91E-07,267.277,206.509,0.093,0.00907821,N/A,N/A,N/A,N/A,1.61E-10,4.18794E-05,1.78E-11,167.775,4.27584,343.795,6.26E-10,0.439021,9.32841,1535.77,2.38852,167.099,N/A,N/A,2.36E-10,0.000248336
84449-90-1,CASRN,DTXSID3023550,Raloxifene,473.59,C28H27NO4S,42.1697,506.205,6.95024E-06,1.393,0.828,N/A,344.309,234.189,0.618,N/A,N/A,N/A,2.21E-07,N/A,1.24E-12,1.00462E-06,2.84E-11,280.115,94.9828,472.392,1.09E-10,0.518583,9.7017,235564,4.40645,238.862,N/A,N/A,4.55E-09,6.79529E-06
84057-84-1,CASRN,DTXSID2023195,Lamotrigine,256.09,C9H7Cl2N5,25.8821,385.492,6.95024E-05,1.622,0.706,2.95801E-05,278.197,235.378,0.078,0.00108393,N/A,N/A,N/A,N/A,1.03E-08,6.99842E-05,1.37E-11,27.1267,6.22536,335.564,1.13E-09,0.426116,9.2008,178.926,2.56679,237.997,N/A,N/A,3.82E-10,4.27263E-05
83-98-7,CASRN,DTXSID3023396,Orphenadrine,269.388,C18H23NO,113.763,337.778,4.06443E-06,1.013,0.271,1.80717E-05,172.061,84.15,0.139,0.00204174,39.095,138.448,1.71791E-05,10.8143,5.68853E-06,0.00103753,1.67E-11,348.788,3.36368,322.981,6.49155E-06,3.19207,8.96725,536.17,3.76859,147.152,N/A,N/A,9.40122E-05,0.000277605
