CAS,FOUND_BY,DTXSID,PREFERRED_NAME,AVERAGE_MASS,MOLECULAR_FORMULA,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
4205-90-7,CASRN,DTXSID6022846,Clonidine,230.09,C9H9Cl2N3,27.6694,N/A,3.47536E-05,1.531,0.606,N/A,147.607,153.802,0.229,0.00128233,N/A,N/A,N/A,N/A,1.01859E-05,0.00143219,1.75E-11,29.8219,3.44357,330.744,1.43E-09,0.198144,8.11032,170.128,1.59642,130.081,N/A,N/A,1.82499E-05,0.782013
41859-67-0,CASRN,DTXSID3029869,Bezafibrate,361.82,C19H20ClNO4,5.09331,481.166,0.000044157,1.317,0.7,2.16272E-06,302.57,184.062,0.03,0.00459198,N/A,N/A,0.000011246,N/A,8.18E-09,2.81838E-05,1.73E-11,6.72481,3.53465,305.131,2.26E-11,0.130873,9.45928,13925.5,3.76383,186.015,N/A,N/A,8.47E-11,1.58154E-05
4147-57-3,CASRN,DTXSID30194365,"1,3,5-Triazine-2,4-diamine, N-(1-methylethyl)-6-(methylthio)-",199.28,C7H13N5S,4.48745,324.005,0.00010617,1.255,0.407,0.000256448,197.435,120.463,0.224,0.00428549,N/A,N/A,0.00170608,N/A,4.20E-07,0.00477529,2.05E-11,3.2069,3.17036,336.568,1.82E-08,0.146099,8.3978,197.452,2.0785,132.927,N/A,N/A,1.5121E-06,0.00216906
41340-25-4,CASRN,DTXSID9020615,Etodolac,287.359,C17H21NO3,8.16582,460.346,1.94089E-05,1.275,0.954,3.96278E-06,266.942,164.116,-0.001,0.0028119,N/A,N/A,4.02717E-05,N/A,6.10E-10,0.000161436,1.99E-11,2.93245,6.57762,307.526,1.37E-09,2.00316,9.19971,628.941,4.87919,146.565,N/A,N/A,3.75E-09,0.00131088
41318-75-6,CASRN,DTXSID4052710,"2,4,4'-Tribromodiphenyl ether",406.899,C12H7Br3O,271.019,379.015,1.70E-07,2.112,N/A,2.90E-07,173.667,174.92,0.264,0.000103992,N/A,111.99,2.60615E-06,N/A,4.54E-07,9.08E-08,1.06E-11,674120,23.6421,334.818,0.000196853,17.8235,9.44648,266695,5.93977,199.631,N/A,N/A,6.73E-07,2.51824E-05
41198-08-7,CASRN,DTXSID3032464,Profenofos,373.63,C11H15BrClO3PS,55.0808,N/A,1.44E-08,1.482,0.615,2.34E-07,195.068,29.598,0.137,0.00044978,N/A,N/A,N/A,N/A,2.44343E-06,5.17607E-05,1.64E-11,1512.91,3.35498,364.096,8.83586E-06,0.48992,10.3592,1072.3,4.68106,40.5964,N/A,N/A,9.08E-07,7.45102E-05
40487-42-1,CASRN,DTXSID7024245,Pendimethalin,281.312,C13H19N3O4,59.5662,363.278,2.91072E-06,1.254,0.948,6.90E-07,173.98,83.132,0.117,0.00674528,N/A,146.792,3.11889E-06,38.0189,6.21E-07,9.84011E-06,1.38E-11,578.79,3.54085,330.011,7.77E-07,1.90558,10.1984,5013.25,5.1983,56.0787,N/A,N/A,2.99346E-05,0.000001074
39809-25-1,CASRN,DTXSID9046491,Penciclovir,253.262,C10H15N5O3,0.5188,N/A,0.00374973,1.824,0.605,N/A,215.183,254.243,0.169,0.00101625,N/A,N/A,N/A,N/A,8.93E-09,0.00922571,1.39E-11,1.55103,3.34449,341.915,3.78E-10,0.580987,9.394,59.2897,-0.857731,221.051,N/A,N/A,1.51E-10,0.00826257
39765-80-5,CASRN,DTXSID5052709,trans-Nonachlor,444.2,C10H5Cl9,3990.25,356.949,2.37E-07,1.911,0.35,5.92E-08,201.562,114.196,0.113,0.000302691,N/A,N/A,N/A,N/A,2.93089E-06,1.42E-07,6.99E-13,11397.4,230.688,333.799,7.45727E-05,90.3176,10.1783,30275.5,6.19852,102.762,N/A,N/A,3.33E-08,2.16E-07
396-01-0,CASRN,DTXSID6021373,Triamterene,253.269,C12H11N7,3.70681,443.903,4.97737E-05,1.5,0.836,1.35831E-05,321.534,285.214,0.214,0.00177011,N/A,N/A,0.000136773,N/A,2.88E-10,0.00010617,1.66E-11,23.1468,19.7544,320.842,1.12E-11,0.262891,9.31052,41.7372,0.980328,315.914,N/A,N/A,3.89E-09,0.000113281
39562-70-4,CASRN,DTXSID0023373,Nitrendipine,360.366,C18H20N2O6,N/A,413.442,8.24138E-06,1.294,0.982,4.43E-07,248.382,141.653,0.056,0.00559758,N/A,N/A,6.47143E-05,N/A,3.68E-08,0.000255859,1.19E-10,10.8909,3.54735,352.762,1.30E-08,0.682455,10.1778,215.394,2.87993,150.474,N/A,N/A,8.88E-08,5.61578E-05
