Chemical Name,Chemical Groups,CASRN,(Freshwater) Concentration (µg/L) Short Term,(Freshwater) Concentration (µg/L) Long Term,(Freshwater) Date,(Marine) Concentration (µg/L) Short Term,(Marine) Concentration (µg/L) Long Term,(Marine) Date,,,,,,,,,
"1,2-Dichlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",95-50-1,No data,0.7,1997,No data,42,1997,,,,,,,,,
"1,3-Dichlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",541-73-1,No data,150,1997,No data,Insufficient data,1997,,,,,,,,,
"1,4-Dichlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",106-46-7,No data,26,1997,No data,Insufficient data,1997,,,,,,,,,
"1,1-Dichloroethane","Organic, Halogenated aliphatic compounds, Chlorinated ethanes",75-34-3,No data,No data,No data,No data,No data,No data,,,,,,,,,
"1,1-Dichloroethene","Organic, Halogenated aliphatic compounds, Chlorinated ethenes",75-35-4,No data,No data,No data,No data,No data,No data,,,,,,,,,
"1,2-Dichloroethane","Organic, Halogenated aliphatic compounds, Chlorinated ethanes",107-06-2,No data,100,1991,No data,Insufficient data,1991,,,,,,,,,
"1,2-Dichloroethene","Organic, Halogenated aliphatic compounds, Chlorinated ethenes",,No data,No data,No data,No data,No data,No data,,,,,,,,,
"1,2-Dichloropropane","Organic, Halogenated aliphatic compounds, Halogenated methanes",78-87-5,No data,No data,No data,No data,No data,No data,,,,,,,,,
"1,2-Dichloropropene (cis and trans)","Organic, Halogenated aliphatic compounds, Halogenated methanes",563-54-2,No data,No data,No data,No data,No data,No data,,,,,,,,,
Di-n-butyl phthalate,"Organic, Phthalate esters",84-74-2,No data,19,1993,No data,Insufficient data,1993,,,,,,,,,
Di-n-octyl phthalate,"Organic, Phthalate esters",117-84-0,No data,Insufficient data,1993,No data,Insufficient data,1993,,,,,,,,,
Di(2-ethylhexyl) phthalate,"Organic, Phthalate esters",117-81-7,No data,16,1993,No data,Insufficient data,1993,,,,,,,,,
"Dibenz(a,h)anthracene","Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",53-70-3,No data,No data,No data,No data,No data,No data,,,,,,,,,
Dibromochloromethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",124-48-1,No data,Insufficient data,1992,No data,Insufficient data,1992,,,,,,,,,
Dicamba,"Organic, Pesticides, Aromatic carboxylic acid",1918-00-9,No data,10,1993,No data,No data,No data,,,,,,,,,
"Dichloro diphenyl dichloroethane, 2,2-Bis (p-chlorophenyl)-1,1-dichloroethane","Organic, Pesticides, Organochlorine compounds",72-54-8,No data,No data,No data,No data,No data,No data,,,,,,,,,
"Dichloro diphenyl ethylene, 1,1-Dichloro-2,2-bis(p-chlorophenyl)-ethene","Organic, Pesticides, Organochlorine compounds",72-55-9,No data,No data,No data,No data,No data,No data,,,,,,,,,
"Dichloro diphenyl trichloroethane; 2,2-Bis(p-chlorophenyl)-1,1,1-trichloroethane","Organic, Pesticides, Organochlorine compounds",789-02-6,No data,No data,No data,No data,No data,No data,,,,,,,,,
"Dichloro diphenyl trichloroethane; 2,2-Bis(p-chlorophenyl)-1,1,1-trichloroethane and metabolites","Organic, Pesticides, Organochlorine compounds",,No data,0.001,1987,No data,No data,No data,,,,,,,,,
Dichlorobromomethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",75-27-4,No data,Insufficient data,1992,No data,Insufficient data,1992,,,,,,,,,
Dichloromethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",75-09-2,No data,98.1,1992,No data,Insufficient data,1992,,,,,,,,,
Dichlorophenols,"Organic, Monocyclic aromatic compounds, Chlorinated phenols",120-83-2,No data,0.2,1987,No data,No data,No data,,,,,,,,,
"2,4-Dichlorophenol","Organic, Monocyclic aromatic compounds, Chlorinated phenols",120-83-2,No data,No data,No data,No data,No data,No data,,,,,,,,,
Diclofop-methyl,"Organic, Pesticides",51338-27-3,No data,6.1,1993,No data,No data,No data,,,,,,,,,
Didecyl dimethyl ammonium chloride,"Organic, Pesticides",7173-51-5,No data,1.5,1999,No data,Insufficient data,1999,,,,,,,,,
Dieldrin,"Organic, Pesticides, Organochlorine compounds",60-57-1,No data,0.004,No data,No data,No data,No data,,,,,,,,,
Diethylene glycol,"Organic, Glycols",111-46-6,No data,Insufficient data,1997,No data,Insufficient data,1997,,,,,,,,,
Diisopropanolamine,Organic,110-97-4,No data,"1,600",2005,No data,Insufficient data,2005,,,,,,,,,
Dimethoate,"Organic, Pesticides, Organophosphorus compounds",60-51-5,No data,6.2,1993,No data,Insufficient data,1993,,,,,,,,,
Dinoseb,Pesticides,88-85-7,No data,0.05,1992,No data,No data,No data,,,,,,,,,
"1,4-Dioxane",,123-91-1,NRG,NRG,2008,NRG,NRG,2008,,,,,,,,,
Dissolved gas supersaturation,Physical,,No data,Narrative,1999,No data,Narrative,1999,,,,,,,,,
Dissolved oxygen,Inorganic,,No data,Variable,1999,No data,>8000 & Narrative,1996,,,,,,,,,
Endosulfan,"Organic, Pesticides, Organochlorine compounds",115-29-7,0.06,0.003,2010,0.09,0.002,2010,,,,,,,,,
Endrin,"Organic, Pesticides, Organochlorine compounds",72-20-8,No data,0.0023,1987,No data,No data,No data,,,,,,,,,
Ethylbenzene,"Organic, Monocyclic aromatic compounds",100-41-4,No data,90,1996,No data,25,1996,,,,,,,,,
Ethylene glycol,"Organic, Glycols",107-21-1,No data,192 000,1997,No data,Insufficient data,1997,,,,,,,,,
Fluoranthene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",206-44-0,No data,0.04,1999,No data,Insufficient data,1999,,,,,,,,,
Fluorene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",86-73-7,No data,3,1999,No data,Insufficient data,1999,,,,,,,,,
Fluoride,Inorganic,16984-48-8,No data,120,2002,No data,NRG,2002,,,,,,,,,
Glyphosate,"Organic, Pesticides, Organophosphorus compounds",1071-83-6,"27,000",800,2012,NRG,NRG,2012,,,,,,,,,
Heptachlor,"Organic, Pesticides, Organochlorine compounds",76-44-8,No data,0.01,1987,No data,No data,No data,,,,,,,,,
Hexachlorobenzene,"Organic, Monocyclic aromatic compounds, Chlorinated benzenes",118-74-1,No data,Insufficient data,1997,No data,Insufficient data,1997,,,,,,,,,
Hexachlorobutadiene,"Organic, Halogenated aliphatic compounds",87-68-3,No data,1.3,1999,No data,No data,No data,,,,,,,,,
Hexachlorocyclohexane,"Organic, Pesticides, Organochlorine compounds",58-89-9,No data,0.01,1987,No data,No data,No data,,,,,,,,,
Imidacloprid,,13826-41-3,No data,0.23,2007,No data,0.65,2007,,,,,,,,,
"Indeno(1,2,3-c,d)pyrene","Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",193-39-5,No data,No data,No data,No data,No data,No data,,,,,,,,,
3-Iodo-2-propynyl butyl carbamate,"Organic, Pesticides, Carbamate pesticides",55406-53-6,No data,1.9,1999,No data,No data,No data,,,,,,,,,
Iron,"Inorganic, Metals",7439-89-6,No data,300,1987,No data,No data,No data,,,,,,,,,
Lead,"Inorganic, Metals",7439-92-1,No data,Equation,1987,No data,No data,No data,,,,,,,,,
Linuron,"Organic, Pesticides",41205-21-4,No data,7,1995,No data,No data,1995,,,,,,,,,
Lithium,"Inorganic, Metals",7439-93-2,No data,No data,No data,No data,No data,No data,,,,,,,,,
Manganese,"Inorganic, Metals",7439-96-5,Equation,Variable,2019,No data,No data,No data,,,,,,,,,
Mercury,"Inorganic, Metals",7439-97-6,No data,0.026,2003,No data,0.016,2003,,,,,,,,,
Methanol,Organotins,67-56-1,No data,No data,No data,No data,No data,No data,,,,,,,,,
Methoprene,,40596-69-8,No data,0.09 (Target Organism Management value: 0.53),2007,No data,Insufficient data,2007,,,,,,,,,
2-Methylnaphthalene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",91-57-6,No data,No data,No data,No data,No data,No data,,,,,,,,,
Methyl tertiary-butyl ether,"Organic, Non-halogenated aliphatic compounds, Aliphatic ether",1634-04-4,No data,10 000,2003,No data,5 000,2003,,,,,,,,,
Methylchlorophenoxyacetic acid (4-Chloro-2-methyl phenoxy acetic acid;   2-Methyl-4-chloro phenoxy acetic acid),"Organic, Pesticides",94-74-6,No data,2.6,1995,No data,4.2,1995,,,,,,,,,
Methylmercury,Organic,22967-92-6,No data,0.004,2003,No data,NRG,2003,,,,,,,,,
Metolachlor,"Organic, Pesticides, Organochlorine compounds",51218-45-2,No data,7.8,1991,No data,No data,No data,,,,,,,,,
Metribuzin,"Pesticides, Triazine compounds",21087-64-9,No data,"1,0",1990,No data,No data,No data,,,,,,,,,
Molybdenum,"Inorganic, Metals",7439-98-7,No data,73,1999,No data,No data,No data,,,,,,,,,
Monobromomethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",74-83-9,No data,Insufficient data,1992,No data,Insufficient data,1992,,,,,,,,,
Monochlorobenzene,"Organic, Monocyclic aromatic compounds, Chlorinated benzenes",108-90-7,No data,1.3,1997,No data,25,1997,,,,,,,,,
Monochloromethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",74-87-3,No data,Insufficient data,1992,No data,Insufficient data,1992,,,,,,,,,
Monochlorophenols,"Organic, Monocyclic aromatic compounds, Chlorinated phenols",25167-80-0,No data,7,1987,No data,No data,No data,,,,,,,,,
n-hexane,Aliphatic hydrocarbon,110-54-3,No data,No data,No data,No data,No data,No data,,,,,,,,,
Naphthalene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",91-20-3,No data,1.1,1999,No data,1.4,1999,,,,,,,,,
Nickel,"Inorganic, Metals",7440-02-0,No data,Equation,1987,No data,No data,No data,,,,,,,,,
Nitrate,"Inorganic, Inorganic nitrogen compounds",14797-55-8,"550,000 µg/L  or 550 mg/L","13,000 µg/L or 13 mg/L",2012,"1,500,000 µg/L or 1500 mg/L","200,000 µg/L  or  200 mg/L",2012,,,,,,,,,
Nitrate + Nitrite,"Inorganic, Inorganic nitrogen compounds",,No data,No data,No data,No data,No data,No data,,,,,,,,,
Nitrite,"Inorganic, Inorganic nitrogen compounds",14797-65-0,No data,60 NO2-N,1987,No data,No data,No data,,,,,,,,,
Nitrite + Nitrate [See Nitrate + Nitrite],"Inorganic, Inorganic nitrogen compounds",,No data,No data,No data,No data,No data,No data,,,,,,,,,
Nonylphenol and its ethoxylates,"Organic, Nonylphenol and its ethoxylates",84852-15-3,No data,1,2002,No data,0.7,2002,,,,,,,,,
Nuisance organisms,Biological,,No data,No data,No data,No data,No data,No data,,,,,,,,,
Nutrients,,,No data,Guidance Framework,2004,No data,Guidance framework,2007,,,,,,,,,
Pentachlorobenzene,"Organic, Monocyclic aromatic compounds, Chlorinated benzenes",608-93-5,No data,6,1997,No data,Insufficient data,1997,,,,,,,,,
Pentachlorophenol,"Organic, Monocyclic aromatic compounds, Chlorinated phenols",87-86-5,No data,0.5,1987,No data,No data,No data,,,,,,,,,
Perfluorooctane sulfonate (PFOS),Per- and polyfluoroalkyl substances (PFAS),1763-23-1,No data,No data,No data,No data,No data,No data,,,,,,,,,
Permethrin,"Organic, Pesticides, Organochlorine compounds",52645-53-1,No data,0.004,2006,No data,0.001,2006,,,,,,,,,
pH,"Inorganic, Acidity, alkalinity and ph",,No data,6.5 to 9.0,1987,No data,7.0 to 8.7 & Narrative,1996,,,,,,,,,
Phenanthrene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",08/01/1985,No data,0.4,1999,No data,Insufficient data,1999,,,,,,,,,
"Phenolic compounds, nonchlorinated","Organic, Non-halogenated aromatic hydroxy compounds",,No data,No data,No data,No data,No data,No data,,,,,,,,,
Phenols (mono- & dihydric),"Organic, Aromatic hydroxy compounds",108-95-2,No data,4,1999,No data,No data,No data,,,,,,,,,
Phenoxy herbicides,"Organic, Pesticides",,No data,4,1987,No data,No data,No data,,,,,,,,,
Phosphorus,Inorganic,7723-14-0,No data,Guidance Framework,2004,No data,Guidance Framework,2007,,,,,,,,,
Phthalic acid esters (each),"Organic, Phthalate esters",,No data,No data,No data,No data,No data,No data,,,,,,,,,
Picloram,"Organic, Pesticides",01/02/1918,No data,29,1990,No data,No data,No data,,,,,,,,,
Polychlorinated biphenyls,"Organic, Polyaromatic compounds, Polychlorinated biphenyls",1336-36-3,No data,0.001,1987,No data,0.01,1991,,,,,,,,,
Polychlorinated dibenzo-p-dioxins/dibenzo furans,"Organic, Polyaromatic compounds, Polychlorinated dioxins and furans",,No data,No data,No data,No data,No data,No data,,,,,,,,,
Propylene glycol,"Organic, Glycols",57-55-6,No data,"500,000",1997,No data,Insufficient data,1997,,,,,,,,,
Pyrene,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",129-00-0,No data,0.025,1999,No data,Insufficient data,1999,,,,,,,,,
Quinoline,"Organic, Polyaromatic compounds, Polycyclic aromatic hydrocarbons",91-22-5,No data,3.4,1999,No data,Insufficient data,1999,,,,,,,,,
Salinity,Physical,,No data,No data,No data,No data,Narrative,1996,,,,,,,,,
Selenium,"Inorganic, Metals",7782-49-2,No data,1,1987,No data,No data,No data,,,,,,,,,
Silver,"Inorganic, Metals",7440-22-4,NRG,0.25,2015,7.5,NRG,2015,,,,,,,,,
Simazine,"Pesticides, Triazine compounds",122-34-9,No data,10,1991,No data,NRG,No data,,,,,,,,,
Sodium adsorption ratio,,,No data,No data,No data,No data,No data,No data,,,,,,,,,
Streambed substrate,"Physical, Turbidity, clarity and suspended solids, Total particulate matter",,No data,Narrative,1999,No data,Narrative,1999,,,,,,,,,
Styrene,"Organic, Monocyclic aromatic compounds",100-42-5,No data,72,1999,No data,No data,No data,,,,,,,,,
Sulfolane,"Organic, Organic sulphur compound",126-33-0,No data,"50,000",2005,No data,Insufficient data,2005,,,,,,,,,
Sulphate,"Inorganic, Inorganic sulphur compounds",18785-72-3,No data,No data,No data,No data,No data,No data,,,,,,,,,
Sulphur (elemental),"Inorganic, Inorganic sulphur compounds",9073-75-0,No data,No data,No data,No data,No data,No data,,,,,,,,,
Suspended sediments,"Physical, Turbidity, clarity and suspended solids, Total particulate matter",,No data,Narrative,1999,No data,Narrative,1999,,,,,,,,,
Tebuthiuron,"Organic, Pesticides",34014-18-1,No data,1.6,1995,No data,Insufficient data,1995,,,,,,,,,
Temperature,"Physical, Temperature",,No data,Narrative,1987,No data,Narrative,1996,,,,,,,,,
Tetrachloroethene,"Organic, Halogenated aliphatic compounds, Halogenated methanes",127-18-4,No data,No data,No data,No data,No data,No data,,,,,,,,,
"1,2,3,4-Tetrachlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",634-66-2,No data,1.8,1997,No data,Insufficient data,1997,,,,,,,,,
"1,2,3,5-Tetrachlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",634-90-2,No data,Insufficient data,1997,No data,Insufficient data,1997,,,,,,,,,
"1,2,4,5-Tetrachlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",95-94-3,No data,Insufficient data,1997,No data,Insufficient data,1997,,,,,,,,,
"1,1,2,2-Tetrachloroethane","Organic, Halogenated aliphatic compounds, Chlorinated ethanes",79-34-5,No data,Insufficient data,1991,No data,Insufficient data,1991,,,,,,,,,
"1,1,2,2- Tetrachloroethene","Organic, Halogenated aliphatic compounds, Chlorinated ethenes",127-18-4,No data,110,1993,No data,Insufficient data,1993,,,,,,,,,
Tetrachloromethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",56-23-5,No data,13.3,1992,No data,Insufficient data,1992,,,,,,,,,
Tetrachlorophenols,"Organic, Monocyclic aromatic compounds, Chlorinated phenols",,No data,1,1987,No data,No data,No data,,,,,,,,,
"2,3,4,6-Tetrachlorophenol","Organic, Monocyclic aromatic compounds, Chlorinated phenols",58-90-2,No data,No data,No data,No data,No data,No data,,,,,,,,,
Thallium,"Inorganic, Metals",7440-28-0,No data,0.8,1999,No data,No data,No data,,,,,,,,,
Thiophene,Miscellaneous organic compound,110-02-1,No data,No data,No data,No data,No data,No data,,,,,,,,,
Tin,"Inorganic, Metals",7440-31-5,No data,No data,No data,No data,No data,No data,,,,,,,,,
Toluene,"Organic, Monocyclic aromatic compounds",108-88-3,No data,2,1996,No data,215,1996,,,,,,,,,
Total dissolved solids (salinity),"Physical, Turbidity, clarity and suspended solids",,No data,No data,No data,No data,No data,No data,,,,,,,,,
Toxaphene,"Organic, Pesticides, Organochlorine compounds",8001-35-2,No data,0.008,1987,No data,No data,No data,,,,,,,,,
Triallate,"Organic, Pesticides, Carbamate pesticides",2303-17-5,No data,0.24,1992,No data,No data,No data,,,,,,,,,
Tribromomethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",75-25-2,No data,Insufficient data,1992,No data,Insufficient data,1992,,,,,,,,,
Tributyltin,"Organic, Organotin compounds, Organotins",688-73-3,No data,0.008,1992,No data,0.001,1992,,,,,,,,,
Trichlorfon,,52-68-6,1.1,0.009,2012,NRG,NRG,2012,,,,,,,,,
"1,2,3-Trichlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",87-61-6,No data,8,1997,No data,Insufficient data,1997,,,,,,,,,
"1,2,4-Trichlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",120-82-1,No data,24,1997,No data,5.4,1997,,,,,,,,,
"1,3,5-Trichlorobenzene","Organic, Monocyclic aromatic compounds, Chlorinated benzenes",108-70-3,No data,Insufficient data,1997,No data,Insufficient data,1997,,,,,,,,,
"1,1,1-Trichloroethane","Organic, Halogenated aliphatic compounds, Chlorinated ethanes",71-55-6,No data,Insufficient data,1991,No data,Insufficient data,1991,,,,,,,,,
"1,1,2-Trichloroethane","Organic, Halogenated aliphatic compounds, Chlorinated ethanes",79-00-5,No data,No data,No data,No data,No data,No data,,,,,,,,,
"1,1,2-Trichloroethene","Organic, Halogenated aliphatic compounds, Chlorinated ethenes",79-01-6,No data,21,1991,No data,Insufficient data,1991,,,,,,,,,
"2,4,6-Trichlorophenol","Organic, Monocyclic aromatic compounds, Chlorinated phenols",02/06/1988,No data,No data,No data,No data,No data,No data,,,,,,,,,
Trichloromethane,"Organic, Halogenated aliphatic compounds, Halogenated methanes",67-66-3,No data,1.8,1992,No data,Insufficient data,1992,,,,,,,,,
Trichlorophenols,"Organic, Monocyclic aromatic compounds, Chlorinated phenols",,No data,18,1987,No data,No data,No data,,,,,,,,,
Tricyclohexyltin,"Organic, Organotin compounds, Organotins",07/10/3047,No data,Insufficient data,1992,No data,Insufficient data,1992,,,,,,,,,
Trifluralin,"Organic, Pesticides, Dinitroaniline pesticides",1582-09-8,No data,0.2,1993,No data,No data,No data,,,,,,,,,
Triphenyltin,"Organic, Organotin compounds, Organotins",892-20-6,No data,0.022,1992,No data,No data,1992,,,,,,,,,
Turbidity,"Physical, Turbidity, clarity and suspended solids, Total particulate matter",,No data,Narrative,1999,No data,Narrative,1999,,,,,,,,,
Uranium,"Inorganic, Metals",7440-61-1,33,15,2011,NRG,NRG,2011,,,,,,,,,
Vanadium,"Inorganic, Metals",7440-62-2,No data,No data,No data,No data,No data,No data,,,,,,,,,
Xylene,"Organic, Monocyclic aromatic compounds, Organic, Monocyclic aromatic compounds",1330-20-7,No data,No data,No data,No data,No data,No data,,,,,,,,,
Zinc,"Inorganic, Metals",7440-66-6,Equation,Equation,2018,Not assessed,Not assessed,2018,,,,,,,,,
